Stock Name,Index
INOX India Ltd.,NIFTY 500
IRB Infrastructure Developers Ltd.,NIFTY 500
IRCON International Ltd.,NIFTY 500
ITC Hotels Ltd.,NIFTY 500
ITC Ltd.,NIFTY 500
ITI Ltd.,NIFTY 500
Indegene Ltd.,NIFTY 500
India Cements Ltd.,NIFTY 500
Indiamart Intermesh Ltd.,NIFTY 500
Indian Bank,NIFTY 500
Indian Energy Exchange Ltd.,NIFTY 500
Indian Hotels Co. Ltd.,NIFTY 500
Indian Oil Corporation Ltd.,NIFTY 500
Indian Overseas Bank,NIFTY 500
Indian Railway Catering And Tourism Corporation Ltd.,NIFTY 500
Indian Railway Finance Corporation Ltd.,NIFTY 500
Indian Renewable Energy Development Agency Ltd.,NIFTY 500
Indraprastha Gas Ltd.,NIFTY 500
Indus Towers Ltd.,NIFTY 500
IndusInd Bank Ltd.,NIFTY 500
Info Edge (India) Ltd.,NIFTY 500
Infosys Ltd.,NIFTY 500
Inox Wind Ltd.,NIFTY 500
Intellect Design Arena Ltd.,NIFTY 500
InterGlobe Aviation Ltd.,NIFTY 500
International Gemmological Institute (India) Ltd.,NIFTY 500
Inventurus Knowledge Solutions Ltd.,NIFTY 500
Ipca Laboratories Ltd.,NIFTY 500
J.B. Chemicals & Pharmaceuticals Ltd.,NIFTY 500
J.K. Cement Ltd.,NIFTY 500
JBM Auto Ltd.,NIFTY 500
JK Tyre & Industries Ltd.,NIFTY 500
JM Financial Ltd.,NIFTY 500
JSW Energy Ltd.,NIFTY 500
JSW Infrastructure Ltd.,NIFTY 500
JSW Steel Ltd.,NIFTY 500
Jaiprakash Power Ventures Ltd.,NIFTY 500
Jammu & Kashmir Bank Ltd.,NIFTY 500
Jindal Saw Ltd.,NIFTY 500
Jindal Stainless Ltd.,NIFTY 500
Jindal Steel Ltd.,NIFTY 500
Jio Financial Services Ltd.,NIFTY 500
Jubilant Foodworks Ltd.,NIFTY 500
Jubilant Ingrevia Ltd.,NIFTY 500
Jubilant Pharmova Ltd.,NIFTY 500
Jupiter Wagons Ltd.,NIFTY 500
Jyothy Labs Ltd.,NIFTY 500
Jyoti CNC Automation Ltd.,NIFTY 500
K.P.R. Mill Ltd.,NIFTY 500
KEI Industries Ltd.,NIFTY 500
KPIT Technologies Ltd.,NIFTY 500
KSB Ltd.,NIFTY 500
Kajaria Ceramics Ltd.,NIFTY 500
Kalpataru Projects International Ltd.,NIFTY 500
Kalyan Jewellers India Ltd.,NIFTY 500
Karur Vysya Bank Ltd.,NIFTY 500
Kaynes Technology India Ltd.,NIFTY 500
Kec International Ltd.,NIFTY 500
Kfin Technologies Ltd.,NIFTY 500
Kirloskar Brothers Ltd.,NIFTY 500
Kirloskar Oil Eng Ltd.,NIFTY 500
Kotak Mahindra Bank Ltd.,NIFTY 500
Krishna Institute of Medical Sciences Ltd.,NIFTY 500
L&T Finance Ltd.,NIFTY 500
L&T Technology Services Ltd.,NIFTY 500
LIC Housing Finance Ltd.,NIFTY 500
LT Foods Ltd.,NIFTY 500
LTIMindtree Ltd.,NIFTY 500
Larsen & Toubro Ltd.,NIFTY 500
Latent View Analytics Ltd.,NIFTY 500
Laurus Labs Ltd.,NIFTY 500
Leela Palaces Hotels & Resorts Ltd.,NIFTY 500
Lemon Tree Hotels Ltd.,NIFTY 500
Life Insurance Corporation of India,NIFTY 500
Linde India Ltd.,NIFTY 500
Lloyds Metals And Energy Ltd.,NIFTY 500
Lodha Developers Ltd.,NIFTY 500
Lupin Ltd.,NIFTY 500
MMTC Ltd.,NIFTY 500
MRF Ltd.,NIFTY 500
Mahanagar Gas Ltd.,NIFTY 500
Maharashtra Scooters Ltd.,NIFTY 500
Maharashtra Seamless Ltd.,NIFTY 500
Mahindra & Mahindra Financial Services Ltd.,NIFTY 500
Mahindra & Mahindra Ltd.,NIFTY 500
Manappuram Finance Ltd.,NIFTY 500
Mangalore Refinery & Petrochemicals Ltd.,NIFTY 500
Mankind Pharma Ltd.,NIFTY 500
Marico Ltd.,NIFTY 500
Maruti Suzuki India Ltd.,NIFTY 500
Max Financial Services Ltd.,NIFTY 500
Max Healthcare Institute Ltd.,NIFTY 500
Mazagoan Dock Shipbuilders Ltd.,NIFTY 500
Metropolis Healthcare Ltd.,NIFTY 500
Minda Corporation Ltd.,NIFTY 500
Motherson Sumi Wiring India Ltd.,NIFTY 500
Motilal Oswal Financial Services Ltd.,NIFTY 500
MphasiS Ltd.,NIFTY 500
Multi Commodity Exchange of India Ltd.,NIFTY 500
Muthoot Finance Ltd.,NIFTY 500
NATCO Pharma Ltd.,NIFTY 500
NBCC (India) Ltd.,NIFTY 500
NCC Ltd.,NIFTY 500
NHPC Ltd.,NIFTY 500
NLC India Ltd.,NIFTY 500
NMDC Ltd.,NIFTY 500
NMDC Steel Ltd.,NIFTY 500
NTPC Green Energy Ltd.,NIFTY 500
NTPC Ltd.,NIFTY 500
Narayana Hrudayalaya Ltd.,NIFTY 500
National Aluminium Co. Ltd.,NIFTY 500
Nava Ltd.,NIFTY 500
Navin Fluorine International Ltd.,NIFTY 500
Nestle India Ltd.,NIFTY 500
Netweb Technologies India Ltd.,NIFTY 500
Neuland Laboratories Ltd.,NIFTY 500
Newgen Software Technologies Ltd.,NIFTY 500
Nippon Life India Asset Management Ltd.,NIFTY 500
Niva Bupa Health Insurance Company Ltd.,NIFTY 500
Nuvama Wealth Management Ltd.,NIFTY 500
Nuvoco Vistas Corporation Ltd.,NIFTY 500
Oberoi Realty Ltd.,NIFTY 500
Oil & Natural Gas Corporation Ltd.,NIFTY 500
Oil India Ltd.,NIFTY 500
Ola Electric Mobility Ltd.,NIFTY 500
Olectra Greentech Ltd.,NIFTY 500
One 97 Communications Ltd.,NIFTY 500
Onesource Specialty Pharma Ltd.,NIFTY 500
Oracle Financial Services Software Ltd.,NIFTY 500
PB Fintech Ltd.,NIFTY 500
PCBL Chemical Ltd.,NIFTY 500
PG Electroplast Ltd.,NIFTY 500
PI Industries Ltd.,NIFTY 500
PNB Housing Finance Ltd.,NIFTY 500
PTC Industries Ltd.,NIFTY 500
PVR INOX Ltd.,NIFTY 500
Page Industries Ltd.,NIFTY 500
Patanjali Foods Ltd.,NIFTY 500
Persistent Systems Ltd.,NIFTY 500
Petronet LNG Ltd.,NIFTY 500
Pfizer Ltd.,NIFTY 500
Phoenix Mills Ltd.,NIFTY 500
Pidilite Industries Ltd.,NIFTY 500
Piramal Pharma Ltd.,NIFTY 500
Poly Medicure Ltd.,NIFTY 500
Polycab India Ltd.,NIFTY 500
Poonawalla Fincorp Ltd.,NIFTY 500
Power Finance Corporation Ltd.,NIFTY 500
Power Grid Corporation of India Ltd.,NIFTY 500
Praj Industries Ltd.,NIFTY 500
Premier Energies Ltd.,NIFTY 500
Prestige Estates Projects Ltd.,NIFTY 500
Procter & Gamble Hygiene & Health Care Ltd.,NIFTY 500
Punjab National Bank,NIFTY 500
R R Kabel Ltd.,NIFTY 500
RBL Bank Ltd.,NIFTY 500
REC Ltd.,NIFTY 500
RHI MAGNESITA INDIA LTD.,NIFTY 500
RITES Ltd.,NIFTY 500
Radico Khaitan Ltd,NIFTY 500
Rail Vikas Nigam Ltd.,NIFTY 500
Railtel Corporation Of India Ltd.,NIFTY 500
Rainbow Childrens Medicare Ltd.,NIFTY 500
Ramkrishna Forgings Ltd.,NIFTY 500
Rashtriya Chemicals & Fertilizers Ltd.,NIFTY 500
Redington Ltd.,NIFTY 500
Reliance Industries Ltd.,NIFTY 500
Reliance Infrastructure Ltd.,NIFTY 500
Reliance Power Ltd.,NIFTY 500
SBFC Finance Ltd.,NIFTY 500
SBI Cards and Payment Services Ltd.,NIFTY 500
SBI Life Insurance Company Ltd.,NIFTY 500
SJVN Ltd.,NIFTY 500
SKF India (Industrial) Ltd.,NIFTY 500
SKF India Ltd.,NIFTY 500
SRF Ltd.,NIFTY 500
Sagility Ltd.,NIFTY 500
Sai Life Sciences Ltd.,NIFTY 500
Sammaan Capital Ltd.,NIFTY 500
Samvardhana Motherson International Ltd.,NIFTY 500
Sapphire Foods India Ltd.,NIFTY 500
Sarda Energy and Minerals Ltd.,NIFTY 500
Saregama India Ltd,NIFTY 500
Schaeffler India Ltd.,NIFTY 500
Schneider Electric Infrastructure Ltd.,NIFTY 500
Shipping Corporation of India Ltd.,NIFTY 500
Shree Cement Ltd.,NIFTY 500
Shriram Finance Ltd.,NIFTY 500
Shyam Metalics and Energy Ltd.,NIFTY 500
Siemens Energy India Ltd.,NIFTY 500
Siemens Ltd.,NIFTY 500
Signatureglobal (India) Ltd.,NIFTY 500
Sobha Ltd.,NIFTY 500
Solar Industries India Ltd.,NIFTY 500
Sona BLW Precision Forgings Ltd.,NIFTY 500
Sonata Software Ltd.,NIFTY 500
Star Health and Allied Insurance Company Ltd.,NIFTY 500
State Bank of India,NIFTY 500
Steel Authority of India Ltd.,NIFTY 500
Sumitomo Chemical India Ltd.,NIFTY 500
Sun Pharmaceutical Industries Ltd.,NIFTY 500
Sun TV Network Ltd.,NIFTY 500
Sundaram Finance Ltd.,NIFTY 500
Sundram Fasteners Ltd.,NIFTY 500
Supreme Industries Ltd.,NIFTY 500
Suzlon Energy Ltd.,NIFTY 500
Swan Corp Ltd.,NIFTY 500
Swiggy Ltd.,NIFTY 500
Syngene International Ltd.,NIFTY 500
Syrma SGS Technology Ltd.,NIFTY 500
TBO Tek Ltd.,NIFTY 500
TVS Motor Company Ltd.,NIFTY 500
Tata Chemicals Ltd.,NIFTY 500
Tata Communications Ltd.,NIFTY 500
Tata Consultancy Services Ltd.,NIFTY 500
Tata Consumer Products Ltd.,NIFTY 500
Tata Elxsi Ltd.,NIFTY 500
Tata Investment Corporation Ltd.,NIFTY 500
Tata Motors Passenger Vehicles Ltd.,NIFTY 500
Tata Power Co. Ltd.,NIFTY 500
Tata Steel Ltd.,NIFTY 500
Tata Technologies Ltd.,NIFTY 500
Tata Teleservices (Maharashtra) Ltd.,NIFTY 500
Tech Mahindra Ltd.,NIFTY 500
Techno Electric & Engineering Company Ltd.,NIFTY 500
Tejas Networks Ltd.,NIFTY 500
The New India Assurance Company Ltd.,NIFTY 500
The Ramco Cements Ltd.,NIFTY 500
Thermax Ltd.,NIFTY 500
Timken India Ltd.,NIFTY 500
Titagarh Rail Systems Ltd.,NIFTY 500
Titan Company Ltd.,NIFTY 500
Torrent Pharmaceuticals Ltd.,NIFTY 500
Torrent Power Ltd.,NIFTY 500
Transformers And Rectifiers (India) Ltd.,NIFTY 500
Trent Ltd.,NIFTY 500
Trident Ltd.,NIFTY 500
Triveni Engineering & Industries Ltd.,NIFTY 500
Triveni Turbine Ltd.,NIFTY 500
Tube Investments of India Ltd.,NIFTY 500
UCO Bank,NIFTY 500
UNO Minda Ltd.,NIFTY 500
UPL Ltd.,NIFTY 500
UTI Asset Management Company Ltd.,NIFTY 500
UltraTech Cement Ltd.,NIFTY 500
Union Bank of India,NIFTY 500
United Breweries Ltd.,NIFTY 500
United Spirits Ltd.,NIFTY 500
Usha Martin Ltd.,NIFTY 500
V-Guard Industries Ltd.,NIFTY 500
Valor Estate Ltd.,NIFTY 500
Vardhman Textiles Ltd.,NIFTY 500
Varun Beverages Ltd.,NIFTY 500
Vedant Fashions Ltd.,NIFTY 500
Vedanta Ltd.,NIFTY 500
Ventive Hospitality Ltd.,NIFTY 500
Vijaya Diagnostic Centre Ltd.,NIFTY 500
Vishal Mega Mart Ltd.,NIFTY 500
Vodafone Idea Ltd.,NIFTY 500
Voltas Ltd.,NIFTY 500
Waaree Energies Ltd.,NIFTY 500
Welspun Corp Ltd.,NIFTY 500
Welspun Living Ltd.,NIFTY 500
Whirlpool of India Ltd.,NIFTY 500
Wipro Ltd.,NIFTY 500
Wockhardt Ltd.,NIFTY 500
Yes Bank Ltd.,NIFTY 500
ZF Commercial Vehicle Control Systems India Ltd.,NIFTY 500
Zee Entertainment Enterprises Ltd.,NIFTY 500
Zen Technologies Ltd.,NIFTY 500
Zensar Technolgies Ltd.,NIFTY 500
Zydus Lifesciences Ltd.,NIFTY 500
eClerx Services Ltd.,NIFTY 500
360 ONE WAM Ltd.,NIFTY MIDCAP 150
3M India Ltd.,NIFTY MIDCAP 150
ACC Ltd.,NIFTY MIDCAP 150
AIA Engineering Ltd.,NIFTY MIDCAP 150
APL Apollo Tubes Ltd.,NIFTY MIDCAP 150
AU Small Finance Bank Ltd.,NIFTY MIDCAP 150
AWL Agri Business Ltd.,NIFTY MIDCAP 150
Abbott India Ltd.,NIFTY MIDCAP 150
Adani Total Gas Ltd.,NIFTY MIDCAP 150
Aditya Birla Capital Ltd.,NIFTY MIDCAP 150
Ajanta Pharmaceuticals Ltd.,NIFTY MIDCAP 150
Alkem Laboratories Ltd.,NIFTY MIDCAP 150
Apar Industries Ltd.,NIFTY MIDCAP 150
Apollo Tyres Ltd.,NIFTY MIDCAP 150
Ashok Leyland Ltd.,NIFTY MIDCAP 150
Astral Ltd.,NIFTY MIDCAP 150
